Count of Type of Ban,Column Labels,,,,
Row Labels,Banned from Classrooms,Banned from Libraries,Banned from Libraries and Classrooms,Banned Pending Investigation,Grand Total
Alaska,,,1,,1
Arkansas,,,1,,1
Florida,,29,81,94,204
Georgia,,4,9,,13
Illinois,1,2,,1,4
Indiana,,14,3,1,18
Iowa,,1,1,2,4
Kansas,,,1,29,30
Maryland,,,1,,1
Michigan,1,1,,,2
Minnesota,,,,1,1
Missouri,1,1,2,11,15
New Jersey,1,1,,1,3
New York,,,3,9,12
North Carolina,6,,,,6
Ohio,1,,1,2,4
Oklahoma,5,9,9,20,43
Pennsylvania,443,3,2,8,456
Rhode Island,,,1,,1
South Carolina,,,1,,1
Tennessee,3,1,,12,16
Texas,12,128,62,511,713
Utah,,1,1,9,11
Virginia,,,1,15,16
Washington,,,,5,5
Wisconsin,,2,3,,5
Grand Total,474,197,184,731,1586
