county,Cases,Incidence_avg,Incidence_alt,PopulationAvg,n_tower
albany,56,3.65200965138583,3.64893825670672,306938.6,308
allegany,21,9.00559437765808,9.00186467196776,46657,31
bronx,742,10.3510509192494,10.3434571430284,1434723.4,262
broome,54,5.57284143200264,5.58560981412332,193354,160
cattaraugus,25,6.49403230058953,6.47955441400206,77165.8,20
cayuga,31,7.9804419808216,8.00857692754821,77417,52
chautauqua,21,3.27537928363238,3.2686452866135,128493.6,99
chemung,44,10.4553862226579,10.3596444758373,84945,57
chenango,8,4.18172383365894,4.18033986163075,47843,30
clinton,20,4.97241055135614,4.96794433915162,80516.2,37
columbia,4,1.65862620787011,1.65839541951185,60299.25,17
cortland,73,30.4809421959064,30.5166085596997,47842.8,35
delaware,9,4.9969215761902,5.00177841010137,44984,33
dutchess,35,2.38332194532834,2.38349802169664,293686,91
erie,481,10.4614674643622,10.4611109830356,919596.4,725
essex,6,5.34139177913371,5.33214841146412,37508.3333333333,11
franklin,7,3.45836474744356,3.46445469483103,50513,12
fulton,4,2.48690403384642,2.48748484188925,53601.6666666667,17
genesee,24,8.31592721625513,8.29694776034267,57852.6,64
greene,9,4.74816315162864,4.74593431626906,47409,7
hamilton,2,22.4345291738466,22.4340998317443,4457.5,
herkimer,16,5.17573906860976,5.15460596259045,62080.4,11
jefferson,17,3.01371684064618,3.00504139886445,113143.2,27
kings,375,2.89713745438283,2.89492197490496,2590743.4,619
lewis,6,5.65690448185027,5.65536222595057,26523.5,19
livingston,13,4.09211327539569,4.08771609868376,63605.2,41
madison,18,5.05897044171865,5.05258903082921,71250.6,62
monroe,253,6.80175056012378,6.80040071294003,744073.8,765
montgomery,12,6.06979490522996,6.07057038067535,49418.75,14
nassau,363,5.35196698511903,5.35255337439415,1356362,339
new york,541,6.62315049708647,6.62089235432568,1634220.8,4817
niagara,119,11.2769731801541,11.2826152912621,210944,131
oneida,54,4.70325765318758,4.69835679321488,229867.6,167
onondaga,139,6.01236727274128,6.00415885190116,463012.4,508
ontario,30,5.46872556218014,5.47175661626571,109654,101
orange,72,3.7802191895521,3.78735675112122,380212.4,105
orleans,11,5.39107078575396,5.3756609619501,40925.2,38
oswego,26,4.40279777306674,4.39509169682658,118313.8,64
otsego,9,3.00224271160626,3.00211148507784,59957.8,30
putnam,11,2.22422338917605,2.22584652990526,98838.8,21
queens,486,4.25945162766097,4.24975439305244,2287191,516
rensselaer,20,3.13936879132859,3.13992445341765,159239.5,117
richmond,96,4.03995629995417,4.04218695788378,474990.4,83
rockland,59,3.63308108358644,3.6357429270935,324555.4,112
saratoga,62,5.43857063451668,5.42694759581845,228489.4,111
schenectady,23,2.96670712120869,2.96833943348597,154968.8,93
schoharie,6,4.80634145672724,4.80723007403134,31203,5
schuyler,11,12.2984533864701,12.2799379304956,17915.4,2
seneca,12,6.97746278976202,6.96467747739382,34459.6,16
st lawrence,10,1.83460635669822,1.83495329126397,108994.6,49
steuben,24,4.97486921998574,4.97814800448863,96421.4,65
suffolk,188,2.53475789224805,2.53261482511891,1484631.6,364
sullivan,13,3.45945245333885,3.46025366321085,75139,12
tioga,11,4.5333162374697,4.51480239530789,48728.6,16
tompkins,12,2.33925556672943,2.33775493704621,102662.6,104
ulster,47,5.25942168143404,5.25824705705981,178766.8,47
warren,13,4.0402707334105,4.04192408022908,64325.8,32
washington,23,9.31292192182633,9.31713502149017,61714.25,5
wayne,17,3.76481312813131,3.75695589333781,90498.8,65
westchester,187,3.85861443634081,3.85823165070418,969356,537
wyoming,13,8.07864404819513,8.05876700864768,40328.75,19
yates,5,10.0255978716025,10.0278774994485,24930.5,13
